# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-07-04 02:07:42 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04233300 SIXMILE CREEK AT BETHEL GROVE, NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04233300
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04233300	2000-01-01	26	A
USGS	04233300	2000-01-02	29	A
USGS	04233300	2000-01-03	81	A
USGS	04233300	2000-01-04	216	A
USGS	04233300	2000-01-05	113	A
USGS	04233300	2000-01-06	84	A
USGS	04233300	2000-01-07	76	A
USGS	04233300	2000-01-08	63	A
USGS	04233300	2000-01-09	58	A
USGS	04233300	2000-01-10	99	A
USGS	04233300	2000-01-11	126	A
USGS	04233300	2000-01-12	88	A
USGS	04233300	2000-01-13	79	A
USGS	04233300	2000-01-14	60	A:e
USGS	04233300	2000-01-15	56	A:e
USGS	04233300	2000-01-16	52	A:e
USGS	04233300	2000-01-17	45	A:e
USGS	04233300	2000-01-18	43	A:e
USGS	04233300	2000-01-19	42	A:e
USGS	04233300	2000-01-20	42	A:e
USGS	04233300	2000-01-21	40	A:e
USGS	04233300	2000-01-22	38	A:e
USGS	04233300	2000-01-23	38	A:e
USGS	04233300	2000-01-24	36	A:e
USGS	04233300	2000-01-25	38	A:e
USGS	04233300	2000-01-26	36	A:e
USGS	04233300	2000-01-27	36	A:e
USGS	04233300	2000-01-28	34	A:e
USGS	04233300	2000-01-29	34	A:e
USGS	04233300	2000-01-30	32	A:e
USGS	04233300	2000-01-31	32	A:e
USGS	04233300	2000-02-01	32	A:e
USGS	04233300	2000-02-02	30	A:e
USGS	04233300	2000-02-03	34	A:e
USGS	04233300	2000-02-04	32	A:e
USGS	04233300	2000-02-05	30	A:e
USGS	04233300	2000-02-06	30	A:e
USGS	04233300	2000-02-07	28	A:e
USGS	04233300	2000-02-08	28	A:e
USGS	04233300	2000-02-09	28	A:e
USGS	04233300	2000-02-10	26	A:e
USGS	04233300	2000-02-11	35	A:e
USGS	04233300	2000-02-12	40	A:e
USGS	04233300	2000-02-13	35	A:e
USGS	04233300	2000-02-14	50	A:e
USGS	04233300	2000-02-15	65	A:e
USGS	04233300	2000-02-16	55	A:e
USGS	04233300	2000-02-17	52	A:e
USGS	04233300	2000-02-18	48	A:e
USGS	04233300	2000-02-19	48	A:e
USGS	04233300	2000-02-20	45	A:e
USGS	04233300	2000-02-21	44	A:e
USGS	04233300	2000-02-22	40	A:e
USGS	04233300	2000-02-23	70	A:e
USGS	04233300	2000-02-24	149	A
USGS	04233300	2000-02-25	359	A
USGS	04233300	2000-02-26	511	A
USGS	04233300	2000-02-27	720	A:e
USGS	04233300	2000-02-28	900	A:e
USGS	04233300	2000-02-29	310	A
USGS	04233300	2000-03-01	204	A
