NBA Scoring Leaders
RNK 	NAME 	GP 	MPG 	PTS	FGM-FGA	FG%	3PM-3PA	3P%	FTM-FTA	FT%
1	Kobe Bryant, LAL	77	40.8	31.6	10.6-22.8	.463	1.8-5.2	.344	8.7-10.0	.868
2	C. Anthony, DEN	65	38.2	28.9	10.6-22.4	.476	0.6-2.3	.268	7.1-8.7	.808
3	G. Arenas, WAS	74	39.8	28.4	8.7-20.9	.418	2.8-7.9	.351	8.2-9.7	.844
4	LeBron James, CLE	78	41.0	27.3	9.9-20.8	.476	1.3-4.0	.319	6.3-9.0	.698
5	Ray Allen, SEA	55	40.4	26.4	9.2-21.0	.438	3.0-8.1	.372	5.1-5.6	.903
6	Allen Iverson, DEN/PHI	65	42.5	26.3	8.9-20.2	.443	1.0-3.0	.315	7.5-9.4	.795
7	Vince Carter, NJN	82	38.1	25.2	8.9-19.5	.454	1.9-5.3	.357	5.6-7.0	.802
8	Joe Johnson, ATL	57	41.4	25.0	9.4-20.0	.471	2.1-5.5	.381	4.1-5.5	.748
9	Tracy McGrady, HOU	71	35.8	24.6	9.0-20.8	.431	1.8-5.4	.331	4.9-6.9	.707
10	Dirk Nowitzki, DAL	78	36.1	24.6	8.6-17.2	.502	0.9-2.2	.416	6.4-7.1	.904
11	Zach Randolph, POR	68	35.7	23.6	8.8-18.9	.467	0.2-0.7	.292	5.8-7.1	.819
12	Chris Bosh, TOR	69	38.5	22.6	7.9-15.9	.496	0.2-0.5	.343	6.7-8.6	.785
13	Kevin Garnett, MIN	76	39.5	22.4	8.4-17.6	.476	0.2-0.7	.214	5.5-6.6	.835
14	Ben Gordon, CHI	82	33.0	21.4	7.4-16.3	.455	1.9-4.6	.413	4.6-5.4	.864
15	Carlos Boozer, UTH	74	34.6	20.9	8.7-15.6	.561	0.0-0.0	.000	3.4-5.0	.685
16	Elton Brand, LAC	80	38.4	20.5	8.1-15.1	.533	0.0-0.0	1.000	4.4-5.8	.761
17	A. Stoudemire, PHO	82	32.8	20.4	7.4-12.9	.575	0.0-0.0	.000	5.6-7.1	.781
18	Kevin Martin, SAC	80	35.2	20.2	6.3-13.3	.473	1.6-4.2	.381	6.0-7.1	.844
19	Tim Duncan, SAS	80	34.1	20.0	7.7-14.1	.546	0.0-0.1	.111	4.5-7.1	.637
20	A. Jamison, WAS	70	38.0	19.8	7.3-16.3	.450	2.0-5.4	.364	3.2-4.4	.736
21	R. Hamilton, DET	75	36.8	19.8	7.3-15.6	.468	0.6-1.7	.341	4.6-5.4	.861
22	Eddy Curry, NYK	81	35.2	19.5	7.2-12.5	.576	0.0-0.0	1.000	5.0-8.1	.615
23	Josh Howard, DAL	70	35.1	18.9	7.0-15.4	.459	1.3-3.4	.385	3.5-4.2	.827
24	Ron Artest, SAC	70	37.7	18.8	6.5-14.9	.440	1.3-3.7	.358	4.4-5.9	.740
25	Luol Deng, CHI	82	37.5	18.8	7.7-14.9	.517	0.0-0.1	.143	3.4-4.4	.777
26	Steve Nash, PHO	76	35.3	18.6	6.8-12.8	.532	2.1-4.5	.455	2.9-3.3	.899
27	Tony Parker, SAS	77	32.5	18.6	7.4-14.2	.520	0.2-0.5	.395	3.6-4.5	.783
28	Mike Miller, MEM	70	39.1	18.5	6.6-14.4	.460	2.9-7.1	.406	2.3-2.9	.793
29	A. Iguodala, PHI	76	40.3	18.2	5.8-13.0	.447	0.6-2.0	.310	5.9-7.3	.820
30	G. Wallace, CHA	72	36.7	18.1	6.6-13.2	.502	0.5-1.7	.325	4.3-6.2	.691
31	L. Barbosa, PHO	80	32.7	18.1	6.6-13.9	.476	2.4-5.5	.434	2.5-2.9	.845
32	Dwight Howard, ORL	82	36.9	17.6	6.4-10.6	.603	0.0-0.0	.500	4.8-8.1	.586
33	Mehmet Okur, UTH	80	33.3	17.6	6.1-13.3	.462	1.6-4.2	.384	3.7-4.8	.765
34	Shawn Marion, PHO	80	37.6	17.5	7.0-13.4	.524	1.0-3.2	.317	2.5-3.1	.810
35	Mike Bibby, SAC	82	34.0	17.1	5.7-14.2	.404	2.1-5.9	.360	3.5-4.2	.830
36	C. Billups, DET	70	36.2	17.0	5.0-11.6	.427	1.6-4.5	.345	5.5-6.2	.883
37	Ricky Davis, MIN	81	37.3	17.0	6.2-13.4	.465	1.5-3.8	.397	3.0-3.5	.839
38	C. Maggette, LAC	75	30.6	16.9	4.9-10.8	.454	0.2-0.9	.200	6.9-8.4	.820
39	Jason Terry, DAL	81	35.2	16.7	6.3-13.1	.484	2.0-4.6	.438	2.0-2.5	.804
40	Kirk Hinrich, CHI	80	35.5	16.6	5.9-13.3	.448	1.8-4.2	.415	3.0-3.6	.835
41	Manu Ginobili, SAS	75	27.5	16.5	5.3-11.4	.464	1.7-4.3	.396	4.3-5.0	.860
42	Monta Ellis, GSW	77	34.3	16.5	6.2-13.1	.475	0.5-1.9	.273	3.5-4.6	.763
43	Al Harrington, GSW/IND	78	32.9	16.5	6.3-13.9	.457	1.6-3.8	.433	2.2-3.1	.694
44	Josh Smith, ATL	72	36.8	16.4	6.1-13.8	.439	0.5-2.1	.250	3.7-5.4	.693
45	S. Marbury, NYK	74	37.2	16.4	5.3-12.9	.415	1.7-4.7	.357	4.0-5.2	.769
46	D. Williams, UTH	80	36.9	16.2	6.2-13.5	.456	1.0-3.2	.322	2.8-3.7	.767
47	S. Jackson, GSW/IND	75	33.0	15.5	5.5-12.6	.433	1.3-4.1	.322	3.2-4.0	.813
48	Larry Hughes, CLE	70	37.1	14.9	5.4-13.6	.400	1.1-3.2	.333	3.0-4.4	.676
49	R. Patterson, MIL	81	31.0	14.7	5.9-10.7	.548	0.0-0.2	.158	3.0-4.6	.641
50	Raja Bell, PHO	78	37.4	14.7	5.3-12.2	.432	2.6-6.4	.413	1.5-1.9	.776
