Eastern Conference
 	  	GP 	W 	L 	OTL 	PTS 	GF 	GA 	PP% 	PK% 	HOME 	AWAY 	L10
1 	*-Buffalo 	82 	53 	22 	7 	113 	308 	242 	17.4 	81.3 	28-10-3 	25-12-4 	7-3-0
2 	y-New Jersey 	82 	49 	24 	9 	107 	216 	201 	17.7 	85.2 	25-10-6 	24-14-3 	6-3-1
3 	y-Atlanta 	82 	43 	28 	11 	97 	246 	245 	16.5 	79.8 	23-12-6 	20-16-5 	6-3-1
4 	x-Ottawa 	82 	48 	25 	9 	105 	288 	221 	17.9 	84.5 	25-13-3 	23-12-6 	6-2-2
5 	x-Pittsburgh 	82 	47 	24 	11 	105 	277 	246 	20.3 	82.1 	26-10-5 	21-14-6 	6-3-1
6 	x-NY Rangers 	82 	42 	30 	10 	94 	242 	216 	18.5 	83.8 	21-15-5 	21-15-5 	7-2-1
7 	x-Tampa Bay 	82 	44 	33 	5 	93 	253 	261 	18.4 	78.4 	22-18-1 	22-15-4 	5-4-1
8 	x-NY Islanders 	82 	40 	30 	12 	92 	247 	240 	18.1 	81.8 	22-13-6 	18-17-6 	6-3-1
 	e-Toronto 	82 	40 	31 	11 	91 	258 	269 	17.7 	78.5 	21-15-5 	19-16-6 	6-3-1
 	e-Montreal 	82 	42 	34 	6 	90 	245 	256 	22.8 	83.5 	26-12-3 	16-22-3 	7-3-0
 	e-Carolina 	82 	40 	34 	8 	88 	241 	253 	15.0 	84.6 	21-16-4 	19-18-4 	5-5-0
 	e-Florida 	82 	35 	31 	16 	86 	247 	257 	18.1 	82.4 	23-12-6 	12-19-10 	5-2-3
 	e-Boston 	82 	35 	41 	6 	76 	219 	289 	17.2 	81.7 	18-19-4 	17-22-2 	1-8-1
 	e-Washington 	82 	28 	40 	14 	70 	235 	286 	16.4 	80.2 	17-17-7 	11-23-7 	3-6-1
 	e-Philadelphia 	82 	22 	48 	12 	56 	214 	303 	14.1 	84.5 	10-24-7 	12-24-5 	2-7-1
Western Conference
 	  	GP 	W 	L 	OTL 	PTS 	GF 	GA 	PP% 	PK% 	HOME 	AWAY 	L10
1 	z-Detroit 	82 	50 	19 	13 	113 	254 	199 	17.0 	84.6 	29-4-8 	21-15-5 	5-1-4
2 	y-Anaheim 	82 	48 	20 	14 	110 	258 	208 	22.4 	85.1 	26-6-9 	22-14-5 	5-3-2
3 	y-Vancouver 	82 	49 	26 	7 	105 	222 	201 	17.2 	86.9 	26-11-4 	23-15-3 	6-3-1
4 	x-Nashville 	82 	51 	23 	8 	110 	272 	212 	17.4 	85.9 	28-8-5 	23-15-3 	5-3-2
5 	x-San Jose 	82 	51 	26 	5 	107 	258 	199 	22.4 	83.3 	25-12-4 	26-14-1 	7-1-2
6 	x-Dallas 	82 	50 	25 	7 	107 	226 	197 	18.5 	84.4 	28-11-2 	22-14-5 	7-1-2
7 	x-Minnesota 	82 	48 	26 	8 	104 	235 	191 	18.9 	86.0 	29-7-5 	19-19-3 	7-2-1
8 	x-Calgary 	82 	43 	29 	10 	96 	258 	226 	18.2 	80.4 	30-9-2 	13-20-8 	6-4-0
 	e-Colorado 	82 	44 	31 	7 	95 	272 	251 	21.1 	80.2 	22-16-3 	22-15-4 	7-2-1
 	e-St. Louis 	82 	34 	35 	13 	81 	214 	254 	12.1 	80.0 	18-19-4 	16-16-9 	4-5-1
 	e-Columbus 	82 	33 	42 	7 	73 	201 	249 	14.8 	81.2 	18-19-4 	15-23-3 	5-5-0
 	e-Edmonton 	82 	32 	43 	7 	71 	195 	248 	14.2 	84.6 	19-19-3 	13-24-4 	2-8-0
 	e-Chicago 	82 	31 	42 	9 	71 	201 	258 	11.8 	82.6 	17-20-4 	14-22-5 	4-6-0
 	e-Los Angeles 	82 	27 	41 	14 	68 	227 	283 	18.3 	77.9 	16-16-9 	11-25-5 	3-7-0
 	e-Phoenix 	82 	31 	46 	5 	67 	216 	284 	16.5 	78.4 	18-20-3 	13-26-2 	3-6-1
