Team Shooting (Offense) - NBA
RNK	TEAM	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	PPS	ADJ.
FG%
1	Phoenix	110.2	41.3	83.6	49.42	9.6	24.0	.40	18.0	22.3	80.79	1.32	.55
2	Golden State	106.5	39.8	86.0	46.27	8.5	24.0	.36	18.5	25.8	71.70	1.24	.51
3	Denver	105.4	38.6	83.0	46.50	5.9	17.6	.34	22.3	29.9	74.60	1.27	.50
4	Washington	104.3	37.4	83.2	45.02	6.8	19.7	.35	22.6	29.6	76.50	1.25	.49
5	LA Lakers	103.3	37.8	81.3	46.56	7.4	21.0	.35	20.2	27.1	74.74	1.27	.51
6	Memphis	101.6	36.6	78.6	46.50	6.1	16.6	.37	22.4	29.4	76.14	1.29	.50
7	Utah	101.5	37.4	78.9	47.43	4.3	12.9	.34	22.3	30.0	74.33	1.29	.50
8	Sacramento	101.3	35.9	79.7	45.02	6.5	18.5	.35	23.1	30.2	76.47	1.27	.49
9	Dallas	100.0	36.7	78.6	46.73	6.5	17.1	.38	20.1	24.9	80.49	1.27	.51
10	Milwaukee	99.7	38.1	81.9	46.49	6.4	18.0	.36	17.1	23.4	73.27	1.22	.50
11	Toronto	99.5	37.0	79.8	46.31	6.5	17.9	.36	19.0	24.2	78.77	1.25	.50
12	Seattle	99.1	37.2	80.8	45.97	6.4	17.7	.36	18.4	23.3	79.07	1.23	.50
13	Chicago	98.8	37.1	81.3	45.72	5.9	15.1	.39	18.6	25.4	73.36	1.22	.49
14	San Antonio	98.5	36.6	77.2	47.39	7.3	19.0	.38	18.1	24.1	75.05	1.28	.52
15	New Jersey	97.6	35.5	77.8	45.67	7.4	20.4	.36	19.1	26.3	72.74	1.25	.50
16	New York	97.5	35.4	77.5	45.67	5.8	16.7	.35	20.9	29.2	71.54	1.26	.49
17	Houston	97.0	35.4	79.6	44.52	8.6	23.1	.37	17.5	23.2	75.34	1.22	.50
18	Charlotte	96.9	36.1	81.0	44.56	5.6	15.6	.36	19.1	26.0	73.41	1.20	.48
19	Cleveland	96.8	36.3	81.2	44.73	6.0	17.1	.35	18.1	26.0	69.54	1.19	.48
20	Minnesota	96.1	36.5	79.3	46.09	4.7	13.3	.35	18.3	23.1	79.23	1.21	.49
21	Detroit	96.0	35.9	79.1	45.37	5.5	15.9	.34	18.8	24.2	77.41	1.21	.49
22	Boston	95.8	34.9	78.7	44.28	5.7	15.6	.37	20.4	26.6	76.68	1.22	.48
23	LA Clippers	95.6	35.1	77.0	45.58	3.8	11.0	.35	21.6	27.4	78.80	1.24	.48
24	Indiana	95.6	35.0	80.0	43.78	5.9	16.9	.35	19.7	25.9	76.00	1.20	.47
25	New Orleans	95.5	36.2	81.4	44.52	5.5	15.3	.36	17.5	23.7	73.98	1.17	.48
26	Philadelphia	94.9	35.8	78.1	45.76	3.5	10.0	.35	20.0	26.0	76.67	1.21	.48
27	Orlando	94.8	35.1	74.3	47.21	4.2	11.7	.36	20.5	29.2	70.16	1.28	.50
28	Miami	94.6	35.6	76.7	46.42	6.4	18.8	.34	17.0	24.6	69.00	1.23	.51
29	Portland	94.1	35.0	78.0	44.96	5.2	15.0	.35	18.8	24.5	76.92	1.21	.48
30	Atlanta	93.7	34.5	77.7	44.43	4.2	12.7	.33	20.5	26.9	76.12	1.21	.47
