       ALABAMA
        Alexander City            32? 57' N     85? 57' W
        Anniston AP               33? 35' N     85? 51' W
        Auburn                    32? 36' N     85? 30' W
        Birmingham AP             33? 34' N     86? 45' W
        Decatur                   34? 37' N     86? 59' W
        Dothan AP                 31? 19' N     85? 27' W
        Florence AP               34? 48' N     87? 40' W
        Gadsden                   34? 1' N      86? 0' W
        Huntsville AP             34? 42' N     86? 35' W
        Mobile AP                 30? 41' N     88? 15' W
        Mobile Co                 30? 40' N     88? 15' W
        Montgomery AP             32? 23' N     86? 22' W
        Selma-Craig AFB           32? 20' N     87? 59' W
        Talladega                 33? 27' N     86? 6' W
        Tuscaloosa AP             33? 13' N     87? 37' W
       ALASKA
        Anchorage AP              61? 10' N    150? 1' W
        Barrow (S)                71? 18' N    156? 47' W
        Fairbanks AP (S)          64? 49' N    147? 52' W
        Juneau AP                 58? 22' N    134? 35' W
        Kodiak                    57? 45' N    152? 29' W
        Nome AP                   64? 30' N    165? 26' W
       ARIZONA
        Douglas AP                31? 27' N    109? 36' W
        Flagstaff AP              35? 8' N     111? 40' W
        Fort Huachuca AP (S)      31? 35' N    110? 20' W
        Kingman AP                35? 12' N    114? 1' W
        Nogales                   31? 21' N    110? 55' W
        Phoenix AP (S)            33? 26' N    112? 1' W
        Prescott AP               34? 39' N    112? 26' W
        Tucson AP (S)             32? 7' N     110? 56' W
        Winslow AP                35? 1' N     110? 44' W
        Yuma AP                   32? 39' N    114? 37' W
       ARKANSAS
        Blytheville AFB           35? 57' N     89? 57' W
        Camden                    33? 36' N     92? 49' W
        El Dorado AP              33? 13' N     92? 49' W
        Fayetteville AP           36? 0' N      94? 10' W
        Fort Smith AP             35? 20' N     94? 22' W
        Hot Springs               34? 29' N     93? 6' W
        Jonesboro                 35? 50' N     90? 42' W
        Little Rock AP (S)        34? 44' N     92? 14' W
        Pine Bluff AP             34? 18' N     92? 5' W
        Texarkana AP              33? 27' N     93? 59' W
       CALIFORNIA
        Bakersfield AP            35? 25' N    119? 3' W
        Barstow AP                34? 51' N    116? 47' W
        Blythe AP                 33? 37' N    114? 43' W
        Burbank AP                34? 12' N    118? 21' W
        Chico                     39? 48' N    121? 51' W
        Concord                   37? 58' N    121? 59' W
        Covina                    34? 5' N     117? 52' W
        Crescent City AP          41? 46' N    124? 12' W
        Downey                    33? 56' N    118? 8' W
        El Cajon                  32? 49' N    116? 58' W
        El Cerrito AP (S)         32? 49' N    115? 40' W
        Escondido                 33? 7' N     117? 5' W
        Eureka/Arcata AP          40? 59' N    124? 6' W
        Fairfield-Trafis AFB      38? 16' N    121? 56' W
        Fresno AP (S)             36? 46' N    119? 43' W
        Hamilton AFB              38? 4' N     122? 30' W
        Laguna Beach              33? 33' N    117? 47' W
        Livermore                 37? 42' N    121? 57' W
        Lompoc, Vandenberg AFB    34? 43' N    120? 34' W
        Long Beach AP             33? 49' N    118? 9' W
        Los Angeles AP (S)        33? 56' N    118? 24' W
        Los Angeles CO (S)        34? 3' N     118? 14' W
        Merced-Castle AFB         37? 23' N    120? 34' W
        Modesto                   37? 39' N    121? 0' W
        Monterey                  36? 36' N    121? 54' W
        Napa                      38? 13' N    122? 17' W
        Needles AP                34? 36' N    114? 37' W
        Oakland AP                37? 49' N    122? 19' W
        Oceanside                 33? 14' N    117? 25' W
        Ontario                   34? 3' N     117? 36' W
        Oxnard                    34? 12' N    119? 11' W
        Palmdale AP               34? 38' N    118? 6' W
        Palm Springs              33? 49' N    116? 32' W
        Pasadena                  34? 9' N     118? 9' W
        Petaluma                  38? 14' N    122? 38' W
        Pomona Co                 34? 3' N     117? 45' W
        Redding AP                40? 31' N    122? 18' W
        Redlands                  34? 3' N     117? 11' W
        Richmond                  37? 56' N    122? 21' W
        Riverside-March AFB (S)   33? 54' N    117? 15' W
        Sacramento AP             38? 31' N    121? 30' W
        Salinas AP                36? 40' N    121? 36' W
        San Bernadino, Norton AFB 34? 8' N     117? 16' W
        San Diego AP              32? 44' N    117? 10' W
        San Fernando              34? 17' N    118? 28' W
        San Francisco AP          37? 37' N    122? 23' W
        San Francisco Co          37? 46' N    122? 26' W
        San Jose AP               37? 22' N    121? 56' W
        San Louis Obispo          35? 20' N    120? 43' W
        Santa Ana AP              33? 45' N    117? 52' W
        Santa Barbara MAP         34? 26' N    119? 50' W
        Santa Cruz                36? 59' N    122? 1' W
        Santa Maria AP (S)        34? 54' N    120? 27' W
        Santa Monica CIC          34? 1' N     118? 29' W
        Santa Paula               34? 21' N    119? 5' W
        Santa Rosa                38? 31' N    122? 49' W
        Stockton AP               37? 54' N    121? 15' W
        Ukiah                     39? 9' N     123? 12' W
        Visalia                   36? 20' N    119? 18' W
        Yreka                     41? 43' N    122? 38' W
        Yuba City                 39? 8' N     121? 36' W
       COLORADO
        Alamosa AP                37? 27' N    105? 52' W
        Boulder                   40? 0' N     105? 16' W
